id,nome,siglaPartido,siglaUf,idLegislatura
204554,Abílio Santana,PHS,BA,56
204521,Abou Anni,PSL,SP,56
204379,Acácio Favacho,PROS,AP,56
204560,Adolfo Viana,PSDB,BA,56
204528,Adriana Ventura,NOVO,SP,56
121948,ADRIANO DO BALDY,PP,GO,56
74646,Aécio Neves,PSDB,MG,56
141372,Aelton Freitas,PR,MG,56
160508,Afonso Florence,PT,BA,56
136811,Afonso Hamm,PP,RS,56
178835,Afonso Motta,PDT,RS,56
160527,Aguinaldo Ribeiro,PP,PB,56
204495,AIRTON FALEIRO,PT,PA,56
204549,AJ Albuquerque,PP,CE,56
178836,Alan Rick,DEM,AC,56
160559,Alceu Moreira,MDB,RS,56
204413,Alcides Rodrigues,PRP,GO,56
204545,Alê Silva,PSL,MG,56
204501,Alencar Santana,PT,SP,56
160511,Alessandro Molon,PSB,RJ,56
178972,Alex Manente,PPS,SP,56
204571,Alex Santana,PDT,BA,56
105534,Alexandre Figueiredo,MDB,SE,56
204544,Alexandre Frota,PSL,SP,56
160545,Alexandre Leite,DEM,SP,56
204503,Alexandre Padilha,PT,SP,56
178833,Alexandre Serfiotis,PSD,RJ,56
204516,Alexis Fonteyne,NOVO,SP,56
221148,Alfredinho,PT,SP,56
74057,Alice Portugal,PCdoB,BA,56
178927,Aliel Machado,PSB,PR,56
204353,Aline Gurgel,PRB,AP,56
204400,Aline Sleutjes,PSL,PR,56
178937,Altineu Côrtes,PR,RJ,56
178881,Aluisio Mendes,PODE,MA,56
204356,Amaro Neto,PRB,ES,56
178831,André Abdon,PP,AP,56
74471,André de Paula,PSD,PE,56
204423,André Ferreira,PSC,PE,56
133439,André Figueiredo,PDT,CE,56
178882,André Fufuca,PP,MA,56
204515,André Janones,AVANTE,MG,56
141379,Andreia Zito,PSD,RJ,56
73696,Angela Amin,PP,SC,56
74212,Aníbal Gomes,DEM,CE,56
123756,Antônia Lúcia,PR,AC,56
160553,Antonio Brito,PSD,BA,56
73433,Arlindo Chinaglia,PT,SP,56
141391,Arnaldo Jardim,PPS,SP,56
204414,Aroldo Martins,PRB,PR,56
160541,Arthur Lira,PP,AL,56
160600,Arthur Oliveira Maia,DEM,BA,56
159237,Assis Carvalho,PT,PI,56
74090,Átila Lins,PP,AM,56
74459,Átila Lira,PSB,PI,56
160665,Augusto Coutinho,SOLIDARIEDADE,PE,56
204509,Áurea Carolina,PSOL,MG,56
160512,AUREO,SOLIDARIEDADE,RJ,56
69871,Bacelar,PODE,BA,56
178975,Baleia Rossi,MDB,SP,56
73701,Benedita da Silva,PT,RJ,56
109429,Benes Leocádio,PTC,RN,56
141335,Beto Faro,PT,PA,56
204358,Beto Pereira,PSDB,MS,56
178948,Beto Rosado,PP,RN,56
207176,Bia Cavassa,PSDB,MS,56
204374,Bia Kicis,PRP,DF,56
204388,Bibo Nunes,PSL,RS,56
