id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2192283-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192283-26,2019-02-20,2020-11-17T14:13:41,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192225-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192225-28,2019-02-20,2020-11-17T14:13:21,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192224-29,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192224-29,2019-02-20,2020-11-17T14:13:20,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192207-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192207-28,2019-02-20,2020-11-17T14:13:20,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192199-29,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192199-29,2019-02-20,2020-11-17T14:13:20,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192190-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192190-28,2019-02-20,2020-11-17T14:13:20,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192175-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192175-28,2019-02-20,2020-11-17T14:13:20,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192174-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192174-28,2019-02-20,2020-11-17T14:13:19,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192154-21,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192154-21,2019-02-20,2020-11-17T14:13:19,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192152-22,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192152-22,2019-02-20,2020-11-17T14:13:19,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192134-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192134-28,2019-02-20,2020-11-17T14:13:19,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192133-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192133-28,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192106-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192106-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192072-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192072-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192054-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192054-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192051-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192051-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192046-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192046-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192044-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192044-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192036-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192036-26,2019-02-20,2020-11-17T14:13:18,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
2192029-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192029-26,2019-02-20,2020-11-17T14:13:17,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,https://dadosabertos.camara.leg.br/api/v2/eventos/54672,,,Aprovado o Parecer.,1
