id_deputado,id_votacao,tipo_voto
204554,2193540-135,Não
204554,2192459-734,Sim
204554,2192459-730,Sim
204554,2192459-727,Sim
204554,2192459-724,Sim
204554,2192459-704,Não
204554,2192459-696,Sim
204554,2192459-692,Não
204554,2192459-671,Não
204554,2192459-665,Sim
204554,2192459-662,Não
204554,2192459-657,Sim
204554,2192459-653,Sim
204554,2192459-649,Sim
204554,2192459-646,Não
204554,2192459-640,Sim
204554,2192459-636,Sim
204554,2192459-625,Não
204554,2192459-619,Não
204554,2192459-612,Não
204554,2192459-609,Não
204554,2192459-601,Sim
204554,2226336-8,Sim
204554,2215381-8,Sim
204554,2226362-7,Sim
204554,2209381-77,Obstrução
204554,2242488-56,Não
204554,2242488-47,Sim
204554,2242140-81,Não
204554,2242140-72,Não
204554,2230815-71,Não
204554,2230815-65,Não
204554,2242868-76,Não
204554,2229308-92,Sim
204554,2229308-89,Sim
204554,2229308-83,Sim
204554,2229308-77,Sim
204554,2229308-75,Sim
204554,2229308-71,Não
204554,2229308-70,Não
204554,2229308-66,Sim
204554,2229308-65,Sim
204554,2229308-64,Sim
204554,2229308-56,Sim
204554,2229308-55,Sim
204554,2229308-53,Não
204554,2206395-99,Não
204554,2206395-58,Não
204554,2244243-71,Não
204554,2242888-115,Sim
204554,2242888-114,Sim
204554,2242888-111,Sim
204554,2242888-108,Sim
204554,2242888-105,Não
204554,2242888-100,Sim
204554,2242888-95,Não
204554,2242888-93,Não
204554,2242888-78,Não
204554,2242888-71,Sim
204554,2242888-67,Sim
204554,2242888-66,Sim
204554,2242888-60,Não
204554,2242888-56,Não
204554,2242888-48,Não
204554,2242888-38,Não
204554,2246357-57,Não
204554,2242887-152,Não
204554,2255237-7,Não
204554,2230248-6,Sim
204554,1198512-279,Sim
204554,1198512-272,Sim
204554,1198512-257,Sim
204554,1198512-254,Não
204554,1198512-250,Sim
204554,2256542-68,Sim
204554,2256542-32,Não
204554,2253471-108,Não
204554,2255096-53,Não
204554,2255096-29,Não
204554,2253827-32,Não
204554,593065-189,Não
204554,593065-178,Sim
204554,2279545-9,Sim
204554,2267685-96,Sim
204554,2267685-64,Não
204554,2267685-56,Não
204554,2267685-46,Sim
204554,2267685-38,Não
204554,2279744-57,Sim
204554,2279744-54,Não
204554,2279744-49,Não
204554,2279744-42,Não
204554,2283436-69,Sim
204554,2283436-67,Não
204554,2290114-13,Sim
204554,2249925-120,Não
204554,2249925-113,Sim
204554,2249925-110,Não
204554,2313396-56,Sim
204554,2311299-78,Não
204554,2311299-67,Sim
204554,2313734-83,Sim
204554,2313734-76,Sim
204554,2313734-73,Sim
204554,2313734-65,Sim
204554,2313734-62,Não
204554,2313734-59,Sim
204554,2313734-53,Não
204554,2313734-37,Não
204554,2311300-91,Não
204554,2311300-88,Sim
204554,2311300-86,Não
204554,2311300-84,Sim
204554,2311300-81,Sim
204554,2311300-78,Sim
204554,2311300-69,Não
204554,2311300-66,Sim
204554,2311300-63,Não
204554,2311300-60,Não
204554,2311300-57,Não
204554,2310615-55,Sim
204554,2318553-54,Sim
204554,2318553-48,Sim
204554,2300880-94,Sim
204554,2300880-91,Sim
204554,2319485-7,Não
204554,2300880-79,Sim
204554,2300880-76,Não
204554,2329218-177,Não
204554,2331627-9,Sim
204554,2331627-7,Não
204554,2329218-168,Sim
204554,2329218-165,Sim
204554,2329218-162,Sim
204554,2329218-159,Sim
204554,2329218-156,Sim
204554,2329218-153,Sim
204554,2329218-151,Não
204554,2329218-135,Sim
204554,2329218-133,Não
204554,2326450-85,Sim
204521,2193540-135,Não
204521,2192459-734,Sim
204521,2192459-730,Sim
204521,2192459-727,Sim
204521,2192459-724,Sim
204521,2192459-705,Não
204521,2192459-704,Não
204521,2192459-696,Sim
204521,2192459-692,Não
204521,2192459-690,Não
204521,2192459-671,Não
204521,2192459-668,Sim
204521,2192459-665,Sim
204521,2192459-662,Não
204521,2192459-657,Sim
204521,2192459-653,Sim
204521,2192459-649,Sim
204521,2192459-646,Não
204521,2192459-640,Não
204521,2192459-636,Sim
204521,2192459-625,Não
204521,2192459-619,Não
204521,2192459-616,Sim
204521,2192459-612,Não
204521,2192459-609,Não
204521,2192459-601,Sim
204521,2226336-8,Sim
204521,2215381-8,Sim
204521,2226362-7,Sim
204521,2209381-77,Não
204521,2242488-56,Não
204521,2242488-47,Sim
204521,2242140-81,Não
204521,2242140-72,Não
204521,2242140-63,Não
204521,2230815-71,Não
204521,2230815-65,Sim
204521,2242868-76,Não
204521,2229308-92,Sim
204521,2229308-89,Sim
204521,2229308-83,Sim
204521,2229308-80,Sim
204521,2229308-77,Sim
204521,2229308-70,Sim
204521,2229308-66,Sim
204521,2229308-65,Sim
204521,2229308-64,Sim
204521,2229308-56,Sim
204521,2229308-55,Sim
204521,2229308-53,Não
204521,2229308-50,Não
204521,2229308-44,Sim
204521,2206395-99,Não
204521,2206395-58,Não
204521,2244243-71,Não
204521,2242888-115,Sim
204521,2242888-114,Sim
204521,2242888-111,Sim
204521,2242888-108,Sim
204521,2242888-105,Não
204521,2242888-100,Sim
204521,2242888-95,Não
204521,2242888-93,Não
204521,2242888-78,Não
204521,2242888-71,Sim
204521,2242888-67,Sim
204521,2242888-66,Sim
204521,2242888-56,Não
204521,2242888-38,Não
204521,2246357-57,Não
204521,2242887-152,Não
204521,2255237-7,Sim
204521,2230248-6,Sim
204521,1198512-279,Sim
204521,1198512-272,Sim
204521,1198512-250,Sim
204521,2236858-34,Não
204521,2256542-68,Sim
204521,2256542-32,Não
204521,2253471-108,Não
204521,2255096-53,Não
204521,2255096-29,Não
204521,593065-189,Não
204521,593065-178,Sim
204521,593065-172,Não
204521,593065-141,Não
204521,2251926-55,Sim
204521,2277242-56,Não
204521,2267685-64,Não
204521,2267685-46,Sim
204521,2267685-38,Não
204521,2267685-33,Não
204521,2279744-57,Sim
204521,2279744-54,Não
204521,2279744-49,Não
204521,2279744-42,Não
204521,2290114-13,Sim
204521,2203957-126,Não
204521,2203957-123,Sim
204521,2203957-115,Sim
204521,2304142-11,Sim
204521,2304142-8,Não
204521,2249925-120,Não
204521,2249925-113,Sim
204521,2249925-110,Não
204521,2313396-56,Sim
204521,2311299-67,Sim
204521,2313734-83,Sim
204521,2313734-76,Sim
204521,2311300-91,Sim
204521,2311300-88,Sim
204521,2311300-86,Não
204521,2311300-84,Sim
204521,2311300-81,Sim
204521,2311300-69,Não
204521,2311300-66,Sim
204521,2311300-63,Sim
204521,2311300-60,Não
204521,2311300-57,Não
204521,2311300-33,Não
204521,2242238-17,Sim
204521,2319794-7,Sim
204521,2310615-55,Sim
204521,2318553-54,Sim
204521,2318553-51,Sim
204521,2318553-48,Sim
204521,2300880-94,Sim
204521,2300880-91,Sim
204521,2300880-88,Não
204521,2319485-10,Sim
204521,2319485-7,Não
204521,2300880-79,Sim
204521,2300880-76,Não
204521,2329218-207,Sim
204521,2306112-59,Sim
204521,2326450-98,Sim
204521,2326450-90,Sim
204521,2329218-195,Sim
204521,2329218-192,Sim
204521,2329218-182,Sim
204521,2329218-177,Não
204521,2331627-9,Sim
204521,2331627-7,Não
204521,2329218-168,Sim
204521,2329218-165,Sim
204521,2329218-162,Sim
204521,2329218-159,Sim
204521,2329218-156,Sim
204521,2329218-153,Sim
204521,2329218-151,Não
204521,2329218-135,Sim
204521,2329218-133,Não
204521,2326450-85,Sim
204521,2330227-41,Sim
204521,2330227-38,Não
204379,2193540-135,Não
204379,2192459-734,Sim
204379,2192459-730,Sim
204379,2192459-727,Sim
204379,2192459-724,Sim
204379,2192459-705,Não
204379,2192459-704,Não
204379,2192459-696,Sim
204379,2192459-692,Não
204379,2192459-671,Não
204379,2192459-668,Sim
204379,2192459-665,Sim
204379,2192459-662,Não
204379,2192459-657,Sim
204379,2192459-653,Sim
204379,2192459-649,Sim
204379,2192459-646,Não
204379,2192459-640,Sim
204379,2192459-636,Sim
204379,2192459-625,Não
204379,2192459-619,Não
204379,2192459-616,Sim
204379,2192459-612,Não
204379,2226336-8,Sim
204379,2215381-8,Sim
204379,2209381-77,Não
204379,2242488-56,Não
204379,2242488-47,Sim
204379,2242140-81,Sim
204379,2242140-72,Não
204379,2230815-65,Não
204379,2242868-76,Não
204379,2229308-92,Sim
204379,2229308-89,Sim
